test,modifier,level,order,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,n,n_broad,n_specialized,journals
semantic_domain,qwen_macro,19,20,estimated,-0.2578470096959533,0.0976122189057769,-0.4491669587512761,-0.0665270606406306,-0.4460077523015394,-0.075262021419528,1.724347626136885,1.3324265872043382,70297,17999,52298,1701
semantic_domain,qwen_macro,20,21,estimated,-0.304916239094171,0.1300590377546333,-0.5598319530932523,-0.0500005250950896,-0.5695499253650088,-0.0717956628382692,1.157088187496576,0.8529881933077496,109489,45747,63742,4529
semantic_domain,qwen_macro,21,22,estimated,-0.2398646638925783,0.1051750361942683,-0.4460077348333443,-0.0337215929518123,-0.4318704852679836,-0.056113711684102,1.2857741169195305,1.0115626350931908,88044,31479,56565,3230
semantic_domain,qwen_macro,22,23,estimated,0.1032027709917372,0.19025208625446,-0.2696913180670045,0.476096860050479,-0.251587348106612,0.4906330088826745,0.5462474372540161,0.6056333838579439,85146,36673,48473,2707
semantic_domain,qwen_macro,23,24,estimated,0.0169633027436796,0.0805310594315873,-0.1408775737422315,0.1748041792295907,-0.124402405038285,0.1818034540085747,1.3625825820617945,1.3858936401986608,107289,39769,67520,4959
semantic_domain,qwen_macro,24,25,estimated,-0.1179141450090486,0.0944345904307836,-0.3030059422533846,0.0671776522352873,-0.3080543235599692,0.0707819982755965,1.296303402107443,1.1521186273320507,128992,62145,66847,6469
semantic_domain,qwen_macro,25,26,estimated,-0.2166589202171804,0.0852213322297309,-0.383692731387453,-0.0496251090469079,-0.3817678090752301,-0.0614633151624826,1.2854104719215578,1.035018375353023,85820,30531,55289,4585
semantic_domain,qwen_macro,26,27,estimated,-0.1365316323016794,0.1016268204429762,-0.3357202003699128,0.0626569357665539,-0.3273851666114894,0.0533744443033463,1.0275687634794592,0.8964291271957701,107160,46246,60914,5570
semantic_domain,qwen_macro,27,28,estimated,-0.0726439892568712,0.1144517693259441,-0.2969694571357217,0.1516814786219793,-0.3066590513991619,0.1268714209529416,1.1976759684997889,1.1137570133088828,147496,45583,101913,4995
semantic_domain,qwen_macro,28,29,estimated,-0.2374654733998152,0.0635167263314483,-0.3619582570094541,-0.1129726897901764,-0.3626075824061864,-0.132963640221576,2.23233490695788,1.7604731493587735,130319,59941,70378,9153
semantic_domain,qwen_macro,29,30,estimated,-0.0048376261205214,0.1171959817906051,-0.2345417504301074,0.2248664981890646,-0.2222076610178496,0.218529088262343,1.1952633452156007,1.1894950716606854,91418,41692,49726,2648
semantic_domain,qwen_macro,30,31,estimated,-0.070384447343475,0.079140015730805,-0.2254988781758529,0.0847299834889028,-0.213213860409645,0.099199291801366,2.4083406005716865,2.244658773197984,167292,38035,129257,4923
semantic_domain,qwen_macro,31,32,estimated,-0.1440826640976868,0.080245072574713,-0.3013630063441245,0.0131976781487507,-0.3010262469212887,0.0114296011983974,1.6963462459604124,1.4687240150795973,179350,68338,111012,7036
publication_year,publication_year,2015,1,estimated,-0.0344669592793046,0.061641763429883,-0.1552848156018755,0.0863508970432661,-0.153239945902521,0.0860902776561734,1.3384966209321063,1.293148704051576,596758,243259,353499,11635
publication_year,publication_year,2016,2,estimated,-0.0328781728526547,0.045959547903996,-0.1229588867444869,0.0572025410391775,-0.1191716418134749,0.0486380835656618,1.3344500415313354,1.2912891755212306,597086,242394,354692,12235
publication_year,publication_year,2017,3,estimated,-0.1189680382566542,0.042769680238612,-0.2027966115243339,-0.0351394649889745,-0.195894952863653,-0.0403115359099138,1.430931799074527,1.2704330181818613,608397,246436,361961,12877
publication_year,publication_year,2018,4,estimated,-0.0847388917501348,0.0352196743015082,-0.153769453381091,-0.0157083301191786,-0.1533021721669684,-0.0097304158272268,1.3676921344006296,1.2565700847106924,641286,257657,383629,13408
publication_year,publication_year,2019,5,estimated,-0.0789320487037562,0.03534798190067,-0.1482140932290694,-0.009650004178443,-0.1484242187967935,-0.0159603649811484,1.397127781791165,1.2910895781561853,673319,255667,417652,14093
publication_year,publication_year,2020,6,estimated,-0.1001048292392028,0.0472923448833542,-0.1927978252105771,-0.0074118332678285,-0.195498458959498,-0.0069130012406631,1.5519279726571464,1.404095301799428,710645,290430,420215,14606
