candidate,stage,covariate,mean_broad,mean_specialized,smd,source_artifact
primary_leaves_63,raw,lead_country=AR,0.0019706190333944,0.0028138148667601,0.0172609394639494,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AS,2.6031955527007176e-06,4.821178120617111e-06,0.0011511822731309,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AT,0.0030281672266791,0.0041554172510518,0.018843660750186,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AU,0.014592863469552,0.0205732819074333,0.0455143868866852,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AW,1.041278221080287e-05,2.191444600280505e-06,-0.0032749247597685,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=AZ,0.0005108771272175,0.0002713008415147,-0.0121171071051454,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BA,0.000490702361684,0.0001577840112201,-0.018492315233915,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BB,3.18891455205838e-05,2.936535764375877e-05,-0.0004560426901661,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BD,0.0024352894395515,0.0012368513323983,-0.027997068436448,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BE,0.0040147783411526,0.0059944775596072,0.0280572766030232,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BF,0.0001633505209319,0.0001122019635343,-0.0043578991170403,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BG,0.0013992176095766,0.0007512272089761,-0.0197730766349347,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BH,0.0001750649009191,8.50280504908836e-05,-0.0078959179467846,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BI,4.685751994861292e-05,3.4624824684431976e-05,-0.0019165247960516,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BJ,0.0002063032475515,0.0001209677419354,-0.0066715840434507,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BM,3.253994440875897e-06,2.191444600280505e-06,-0.0006439445496756,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BN,8.330225768642296e-05,5.785413744740533e-05,-0.0030292579134826,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BO,7.158787769926974e-05,6.530504908835904e-05,-0.0007594419814039,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BR,0.0213091079955199,0.0192163394109396,-0.0148535224450061,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BS,1.1063581098978051e-05,1.0518934081346423e-05,-0.0001657988236845,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BT,2.277796108613128e-05,2.4982468443197754e-05,0.0004511257686382,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BW,0.0001522869398329,0.0001222826086956,-0.0025609608063254,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BY,0.0009638331533874,0.0005364656381486,-0.015610032516911,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=BZ,5.857189993576615e-06,1.753155680224404e-06,-0.0021038988480982,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=CA,0.0163584808531713,0.0220007889200561,0.0411465834504187,results/qss_v3/balance.csv
primary_leaves_63,raw,lead_country=CD,0.0001145406043188,6.092215988779804e-05,-0.0057247635689082,results/qss_v3/balance.csv
