omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant,omitted_source_domain
16,audience_participation,0.7154496798881773,0.6808071092847248,-0.0346425706034525,True,Public health & care delivery
16,semantic_span,0.1251064062526751,0.1157577790922161,-0.009348627160459,True,Public health & care delivery
17,directed_modularity,0.4820649224633545,0.5094571013911522,0.0273921789277976,True,Surgical specialties
17,audience_participation,0.7161783684834693,0.683428397649722,-0.0327499708337473,True,Surgical specialties
17,semantic_span,0.1257758053852788,0.1166551752748328,-0.009120630110446,True,Surgical specialties
18,directed_modularity,0.4989273827306403,0.5299190451012896,0.0309916623706492,True,Editorial & miscellaneous records
18,audience_participation,0.706883612882185,0.6721103675900321,-0.0347732452921529,True,Editorial & miscellaneous records
18,semantic_span,0.1207072105204885,0.1113280714687594,-0.0093791390517291,True,Editorial & miscellaneous records
19,directed_modularity,0.4791642575665591,0.5083221287606513,0.0291578711940921,True,Synthetic chemistry
19,audience_participation,0.7205403415819216,0.6858885360424118,-0.0346518055395097,True,Synthetic chemistry
19,semantic_span,0.1261614541890703,0.1167505873765974,-0.0094108668124728,True,Synthetic chemistry
20,directed_modularity,0.4795191446786772,0.506754344302581,0.0272351996239038,True,Civil & structural engineering
20,audience_participation,0.718953383918225,0.6870141331786126,-0.0319392507396124,True,Civil & structural engineering
20,semantic_span,0.1260717190319855,0.1172456614835885,-0.008826057548397,True,Civil & structural engineering
21,directed_modularity,0.4807572379149096,0.50888418140222,0.0281269434873103,True,Metallurgy & alloys
21,audience_participation,0.7181808054967763,0.6848715962763905,-0.0333092092203858,True,Metallurgy & alloys
21,semantic_span,0.1260251806029413,0.1170662967017453,-0.008958883901196,True,Metallurgy & alloys
22,directed_modularity,0.4775338033145164,0.5060766567715368,0.0285428534570203,True,Mathematics & theoretical physics
22,audience_participation,0.7216964622029337,0.6880050586771189,-0.0336914035258147,True,Mathematics & theoretical physics
22,semantic_span,0.1261741654610184,0.1168657116526125,-0.0093084538084058,True,Mathematics & theoretical physics
23,directed_modularity,0.4804003827627902,0.5092307971505227,0.0288304143877324,True,Ecology & taxonomy
23,audience_participation,0.7182362929304165,0.684318829954323,-0.0339174629760934,True,Ecology & taxonomy
23,semantic_span,0.1258213185225662,0.1166188907059979,-0.0092024278165682,True,Ecology & taxonomy
24,directed_modularity,0.4811385935095215,0.508594538786731,0.0274559452772095,True,"Astronomy, optics & imaging"
24,audience_participation,0.7172499026954906,0.6845424017956302,-0.0327075008998604,True,"Astronomy, optics & imaging"
24,semantic_span,0.1256689203036572,0.1165001993170423,-0.0091687209866148,True,"Astronomy, optics & imaging"
25,directed_modularity,0.4813791218924637,0.5086357913086849,0.0272566694162211,True,Orthopaedics & sports medicine
25,audience_participation,0.7170406903504938,0.6845722987766727,-0.032468391573821,True,Orthopaedics & sports medicine
25,semantic_span,0.1257031187280798,0.1166031827595075,-0.0090999359685722,True,Orthopaedics & sports medicine
26,directed_modularity,0.4780001447721604,0.5068224719273848,0.0288223271552244,True,"Climate, land & agriculture"
26,audience_participation,0.7209661534391612,0.6868147832834848,-0.0341513701556763,True,"Climate, land & agriculture"
26,semantic_span,0.1260255047896057,0.1167655527434556,-0.0092599520461501,True,"Climate, land & agriculture"
27,directed_modularity,0.4770100652816247,0.507198650082413,0.0301885848007883,True,Oncology
27,audience_participation,0.7220356410175774,0.6865616609971896,-0.0354739800203878,True,Oncology
27,semantic_span,0.1261020849686314,0.1168232758154193,-0.0092788091532121,True,Oncology
28,directed_modularity,0.4828257250463937,0.5106224400739311,0.0277967150275373,True,Education & language
28,audience_participation,0.716007225160213,0.682580941810307,-0.0334262833499059,True,Education & language
28,semantic_span,0.1250351420466608,0.1158319119573665,-0.0092032300892942,True,Education & language
29,directed_modularity,0.4783636936224724,0.5087523830202,0.0303886893977275,True,Electronic & magnetic materials
29,audience_participation,0.7210316122030496,0.6851408993207186,-0.0358907128823309,True,Electronic & magnetic materials
29,semantic_span,0.1259331119697119,0.1166542776976664,-0.0092788342720454,True,Electronic & magnetic materials
30,directed_modularity,0.4865943669813142,0.5156733350840472,0.0290789681027329,True,Drug discovery & pharmaceutics
30,audience_participation,0.7129884738211594,0.6782144955852047,-0.0347739782359546,True,Drug discovery & pharmaceutics
30,semantic_span,0.1257434990088333,0.1163937313634845,-0.0093497676453487,True,Drug discovery & pharmaceutics
31,directed_modularity,0.4841519865959393,0.5124699171340126,0.0283179305380732,True,Chronic & infectious disease
31,audience_participation,0.7146305704719803,0.6804558189992516,-0.0341747514727287,True,Chronic & infectious disease
31,semantic_span,0.1247064261739079,0.1158148032133252,-0.0088916229605826,True,Chronic & infectious disease
