source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
8,24,958,764,2270.875112175941,1387.5852341651917,0.0154468777291247,0.0082556764445721,0.0070529026409809,0.0039049445555402,-0.0031479580854406,0.0002790007699478,0.0001544729302328,-0.0001245278397149,0.0002167368500903,False,Humanities & politics,"Astronomy, optics & imaging"
8,25,267,361,582.5209577083588,652.9061043262482,0.0039624063693012,0.0038845768989798,0.0018091983918531,0.0018374093890539,2.8210997200843035e-05,7.15687951485954e-05,7.26847739647918e-05,1.1159788161964083e-06,7.21267845566936e-05,False,Humanities & politics,Orthopaedics & sports medicine
8,26,4271,3746,10275.991321325302,7827.625880241394,0.0698990361182665,0.0465718033064189,0.0319152585451636,0.0220285171038479,-0.0098867414413156,0.0012625130617066,0.0008714104739048,-0.0003911025878018,0.0010669617678057,False,Humanities & politics,"Climate, land & agriculture"
8,27,241,431,529.043541431427,750.3692456483841,0.0035986439122334,0.0044644505818467,0.001643107791595,0.0021116903151555,0.0004685825235605,6.499853497176576e-05,8.353485845620313e-05,1.853632348443737e-05,7.426669671398443e-05,False,Humanities & politics,Oncology
8,28,12954,16573,29723.46598374844,32564.12533724308,0.2021840577119273,0.1937458513289203,0.0923153856466435,0.0916420129089238,-0.0006733727377196,0.0036518388221873,0.0036252013479658,-2.663747422146671e-05,0.0036385200850766,True,Humanities & politics,Education & language
8,29,81,15,163.54067409038544,25.341310143470764,0.0011124314071116,0.0001507724729803,0.0005079259735664,7.131555499330364e-05,-0.0004366104185731,2.0092683100163843e-05,2.821121425492865e-06,-1.7271561674670978e-05,1.1456902262828354e-05,False,Humanities & politics,Electronic & magnetic materials
8,30,96,109,221.39542889595032,217.4714002609253,0.0015059692633937,0.0012938834114809,0.0006876117479068,0.0006120083577752,-7.560339013155666e-05,2.7200745119667512e-05,2.42100042671276e-05,-2.990740852539916e-06,2.5705374693397557e-05,False,Humanities & politics,Drug discovery & pharmaceutics
8,31,1575,1915,3311.268885731697,3497.5760484933853,0.0225238126623097,0.0208094288449376,0.0102841661982888,0.0098428840347016,-0.0004412821635871,0.0004068240317003,0.0003893676637803,-1.7456367920020734e-05,0.0003980958477403,False,Humanities & politics,Chronic & infectious disease
9,0,221,141,513.5781071186066,253.23051810264587,0.0024008835381622,0.0014692441338315,0.0003534065942763,0.0001839155270049,-0.0001694910672714,1.3805649855116883e-05,7.184567039415277e-06,-6.621082815701607e-06,1.049510844726608e-05,False,Cell & neural biology,"Business, economics & policy"
9,1,1035,1027,2747.0513768196106,2049.3788751363754,0.0128419617925204,0.011890501638005,0.001890318255252,0.0014884169517862,-0.0004019013034657,7.384432653323726e-05,5.814425539188167e-05,-1.5700071141355592e-05,6.599429096255947e-05,False,Cell & neural biology,Earth & environmental science
