panel,mark,item,x,y,value
b,split-half bin,cell 14-13,0.888279385889829,0.8819425937512995,1234.0
b,split-half bin,cell 14-14,0.888279385889829,0.8883155170996906,2075.0
b,split-half bin,cell 14-15,0.888279385889829,0.8946884404480815,511.0
b,split-half bin,cell 14-16,0.888279385889829,0.9010613637964724,43.0
b,split-half bin,cell 14-17,0.888279385889829,0.9074342871448633,1.0
b,split-half bin,cell 15-12,0.8946543738234375,0.8755696704029086,5.0
b,split-half bin,cell 15-13,0.8946543738234375,0.8819425937512995,90.0
b,split-half bin,cell 15-14,0.8946543738234375,0.8883155170996906,516.0
b,split-half bin,cell 15-15,0.8946543738234375,0.8946884404480815,881.0
b,split-half bin,cell 15-16,0.8946543738234375,0.9010613637964724,203.0
b,split-half bin,cell 15-17,0.8946543738234375,0.9074342871448633,9.0
b,split-half bin,cell 16-12,0.9010293617570461,0.8755696704029086,1.0
b,split-half bin,cell 16-13,0.9010293617570461,0.8819425937512995,2.0
b,split-half bin,cell 16-14,0.9010293617570461,0.8883155170996906,34.0
b,split-half bin,cell 16-15,0.9010293617570461,0.8946884404480815,206.0
b,split-half bin,cell 16-16,0.9010293617570461,0.9010613637964724,361.0
b,split-half bin,cell 16-17,0.9010293617570461,0.9074342871448633,92.0
b,split-half bin,cell 16-18,0.9010293617570461,0.9138072104932544,14.0
b,split-half bin,cell 16-19,0.9010293617570461,0.9201801338416453,2.0
b,split-half bin,cell 17-14,0.9074043496906545,0.8883155170996906,4.0
b,split-half bin,cell 17-15,0.9074043496906545,0.8946884404480815,13.0
b,split-half bin,cell 17-16,0.9074043496906545,0.9010613637964724,111.0
b,split-half bin,cell 17-17,0.9074043496906545,0.9074342871448633,163.0
b,split-half bin,cell 17-18,0.9074043496906545,0.9138072104932544,49.0
b,split-half bin,cell 17-19,0.9074043496906545,0.9201801338416453,2.0
b,split-half bin,cell 17-20,0.9074043496906545,0.9265530571900362,1.0
b,split-half bin,cell 18-16,0.9137793376242631,0.9010613637964724,3.0
b,split-half bin,cell 18-17,0.9137793376242631,0.9074342871448633,49.0
b,split-half bin,cell 18-18,0.9137793376242631,0.9138072104932544,60.0
b,split-half bin,cell 18-19,0.9137793376242631,0.9201801338416453,16.0
b,split-half bin,cell 18-20,0.9137793376242631,0.9265530571900362,2.0
b,split-half bin,cell 18-21,0.9137793376242631,0.9329259805384271,1.0
b,split-half bin,cell 19-17,0.9201543255578717,0.9074342871448633,6.0
b,split-half bin,cell 19-18,0.9201543255578717,0.9138072104932544,23.0
b,split-half bin,cell 19-19,0.9201543255578717,0.9201801338416453,34.0
b,split-half bin,cell 19-20,0.9201543255578717,0.9265530571900362,8.0
b,split-half bin,cell 19-21,0.9201543255578717,0.9329259805384271,3.0
b,split-half bin,cell 20-18,0.9265293134914803,0.9138072104932544,1.0
b,split-half bin,cell 20-19,0.9265293134914803,0.9201801338416453,21.0
b,split-half bin,cell 20-20,0.9265293134914803,0.9265530571900362,25.0
b,split-half bin,cell 20-21,0.9265293134914803,0.9329259805384271,5.0
b,split-half bin,cell 20-22,0.9265293134914803,0.9392989038868182,1.0
b,split-half bin,cell 20-23,0.9265293134914803,0.9456718272352092,1.0
b,split-half bin,cell 21-19,0.9329043014250887,0.9201801338416453,3.0
b,split-half bin,cell 21-20,0.9329043014250887,0.9265530571900362,5.0
b,split-half bin,cell 21-21,0.9329043014250887,0.9329259805384271,14.0
b,split-half bin,cell 21-22,0.9329043014250887,0.9392989038868182,6.0
b,split-half bin,cell 21-23,0.9329043014250887,0.9456718272352092,2.0
b,split-half bin,cell 22-21,0.9392792893586973,0.9329259805384271,1.0
b,split-half bin,cell 22-22,0.9392792893586973,0.9392989038868182,8.0
b,split-half bin,cell 22-23,0.9392792893586973,0.9456718272352092,5.0
b,split-half bin,cell 22-24,0.9392792893586973,0.9520447505836,2.0
b,split-half bin,cell 22-25,0.9392792893586973,0.958417673931991,2.0
b,split-half bin,cell 23-22,0.9456542772923059,0.9392989038868182,5.0
b,split-half bin,cell 23-23,0.9456542772923059,0.9456718272352092,1.0
b,split-half bin,cell 23-24,0.9456542772923059,0.9520447505836,2.0
b,split-half bin,cell 24-22,0.9520292652259144,0.9392989038868182,1.0
b,split-half bin,cell 24-23,0.9520292652259144,0.9456718272352092,2.0
b,split-half bin,cell 24-24,0.9520292652259144,0.9520447505836,3.0
b,split-half bin,cell 24-25,0.9520292652259144,0.958417673931991,1.0
b,split-half bin,cell 24-26,0.9520292652259144,0.9647905972803821,3.0
b,split-half bin,cell 25-22,0.9584042531595229,0.9392989038868182,1.0
b,split-half bin,cell 25-23,0.9584042531595229,0.9456718272352092,1.0
b,split-half bin,cell 25-24,0.9584042531595229,0.9520447505836,4.0
b,split-half bin,cell 25-25,0.9584042531595229,0.958417673931991,4.0
b,split-half bin,cell 25-26,0.9584042531595229,0.9647905972803821,3.0
b,split-half bin,cell 25-27,0.9584042531595229,0.971163520628773,1.0
b,split-half bin,cell 26-25,0.9647792410931315,0.958417673931991,4.0
b,split-half bin,cell 26-26,0.9647792410931315,0.9647905972803821,9.0
b,split-half bin,cell 26-27,0.9647792410931315,0.971163520628773,3.0
b,split-half bin,cell 26-28,0.9647792410931315,0.9775364439771639,1.0
b,split-half bin,cell 26-29,0.9647792410931315,0.9839093673255548,1.0
b,split-half bin,cell 27-25,0.97115422902674,0.958417673931991,1.0
b,split-half bin,cell 27-26,0.97115422902674,0.9647905972803821,2.0
b,split-half bin,cell 27-27,0.97115422902674,0.971163520628773,1.0
b,split-half bin,cell 27-28,0.97115422902674,0.9775364439771639,2.0
b,split-half bin,cell 28-27,0.9775292169603486,0.971163520628773,3.0
b,split-half bin,cell 28-28,0.9775292169603486,0.9775364439771639,3.0
b,split-half bin,cell 28-29,0.9775292169603486,0.9839093673255548,1.0
b,split-half bin,cell 28-30,0.9775292169603486,0.9902822906739459,1.0
b,split-half bin,cell 29-27,0.9839042048939571,0.971163520628773,1.0
b,split-half bin,cell 29-28,0.9839042048939571,0.9775364439771639,3.0
b,split-half bin,cell 29-29,0.9839042048939571,0.9839093673255548,5.0
b,split-half bin,cell 29-30,0.9839042048939571,0.9902822906739459,6.0
b,split-half bin,cell 30-29,0.9902791928275656,0.9839093673255548,1.0
b,split-half bin,cell 30-30,0.9902791928275656,0.9902822906739459,7.0
b,split-half bin,cell 31-31,0.9966541807611742,0.9966552140223368,2.0
b,reliability,Spearman-Brown,0.9850569378571297,90052.0,0.9705538907545793
c,choice-set schematic,broad,0.18,0.34,0.0
c,choice-set schematic,broad,0.3,0.68,0.0
c,choice-set schematic,middle excluded,0.49,0.48,2.0
c,choice-set schematic,specialized,0.7,0.66,1.0
c,choice-set schematic,specialized,0.82,0.32,1.0
d,frozen macrodomain,D00,-0.0342046685203113,0.1105958442580206,0.0375919891124499
d,frozen macrodomain,D01,0.0523277439937151,0.0167516361008601,0.0215812395117323
d,frozen macrodomain,D02,-0.0591192525510592,-0.0742028748224163,0.0141980738818197
d,frozen macrodomain,D03,0.1011279583262825,0.0367187464695831,0.0195872439673927
d,frozen macrodomain,D04,0.0212225963239773,-0.0534941394670355,0.0539912438722912
d,frozen macrodomain,D05,0.0969931905652713,0.0371329081566922,0.0326339108308811
d,frozen macrodomain,D06,-0.0822686499365481,-0.0887248788475819,0.0301570924660567
d,frozen macrodomain,D07,0.1429795859428394,-0.036421930098354,0.0450598054966033
d,frozen macrodomain,D08,-0.0766478972438503,0.1442627189637385,0.0395582902742292
d,frozen macrodomain,D09,-0.0148226304491285,-0.1059289080167149,0.0390644942078243
d,frozen macrodomain,D10,-0.1240388342734511,0.1059364462768814,0.021858444605095
d,frozen macrodomain,D11,-0.0981659061228007,-0.0131619078014107,0.0323496515079983
d,frozen macrodomain,D12,0.0128598156191904,0.0788792720366603,0.039436800765828
d,frozen macrodomain,D13,-0.0219876191268168,0.0302506262957197,0.0117884013313159
d,frozen macrodomain,D14,-0.0721375515794878,-0.1121455937842287,0.0283909224084393
d,frozen macrodomain,D15,-0.0634394230087979,-0.0832498044569469,0.0357265373060315
d,frozen macrodomain,D16,-0.1077866308214021,0.0122801929706547,0.0381991753866958
d,frozen macrodomain,D17,-0.0251273404663739,-0.0613807910702943,0.0276821029755523
d,frozen macrodomain,D18,-0.0364924192438765,0.0850548882725035,0.039736213618791
d,frozen macrodomain,D19,0.1685464520934394,-0.0787332136477452,0.0183663397249007
d,frozen macrodomain,D20,0.0962196889477994,0.0589857425441173,0.0286059457749214
d,frozen macrodomain,D21,0.1533354398454846,-0.0080711730000316,0.0230030586616663
d,frozen macrodomain,D22,0.0455851788802135,0.0763387642884218,0.0222459046931789
d,frozen macrodomain,D23,-0.0537259327181446,-0.0137653329608688,0.0280311567029158
d,frozen macrodomain,D24,0.0589857558735744,0.0384770038274734,0.0337014508982516
d,frozen macrodomain,D25,-0.0484407063772321,-0.0328827131851717,0.0224219991634206
d,frozen macrodomain,D26,0.0018934545078476,0.0701027700635398,0.0279974531618754
d,frozen macrodomain,D27,-0.0752930798530517,-0.1026371119206324,0.0385359495293391
d,frozen macrodomain,D28,-0.0610874454447861,0.118072259773902,0.034048153215775
d,frozen macrodomain,D29,0.1835821533304492,-0.0080738422954853,0.023884576083915
d,frozen macrodomain,D30,0.0118952144415019,-0.1079724479061005,0.04370800610635
d,frozen macrodomain,D31,-0.0927682409544676,-0.0389931570177499,0.046858372756461
