qwen_macro,publication_year,n,n_broad,n_specialized,journals,status,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,far_near_broad,far_near_specialized,display_label,p_value,q_value_bh
8,2016,22615,8767,13848,3501,estimated,-0.19756517412485208,0.1887759121301861,-0.5675659619000168,0.17243561365031268,-0.5800615780162365,0.1733114423813287,3.4058659012219135,2.7952849071797083,Humanities & politics,0.29530291168246636,0.6832727129319809
8,2017,24223,9333,14890,3545,estimated,-0.11503269139160754,0.17685502647024742,-0.4616685432732925,0.2316031604900774,-0.48414845892820224,0.20846358268557932,3.2034119829988286,2.8553196407322665,Humanities & politics,0.5154113036884668,0.8597150854953639
8,2018,25644,10076,15568,3718,estimated,-0.04025440069331998,0.1546259444727751,-0.3433212518599592,0.26281245047331925,-0.3171378031443853,0.2863022642319117,2.9416521694075723,2.8255894146767635,Humanities & politics,0.7946060980912983,0.9505531091190015
8,2019,27435,10719,16716,3918,estimated,-0.03463453174295239,0.2205883809257122,-0.4669877583573483,0.3977186948714435,-0.47240466559601474,0.4023438098260952,3.5824659888178307,3.46051303895275,Humanities & politics,0.8752371454399814,0.9537169056447415
8,2020,30397,11727,18670,4184,estimated,-0.14489514366470402,0.0944401506920272,-0.3299978390210773,0.040207551691669285,-0.3240160161045769,0.03009357669637654,3.712623393686281,3.211838765449369,Humanities & politics,0.1249672694628671,0.43092550698572823
9,2015,27811,13977,13834,1940,estimated,-0.07311269570246465,0.11884775034958747,-0.3060542863876561,0.1598288949827268,-0.3058755509963891,0.15863060076175367,2.0543071121716197,1.9094703953691863,Cell & neural biology,0.5384362063479873,0.8597150854953639
9,2016,25781,12904,12877,1961,estimated,-0.028545601319558855,0.14177388432012814,-0.30642241458701,0.24933121194789226,-0.2817788839342164,0.2434871837113666,2.0231484371487314,1.966212943513883,Cell & neural biology,0.8404280537942392,0.9505531091190015
9,2017,24334,12095,12239,2015,estimated,-0.02648726806903412,0.10781767478790609,-0.23780991065333004,0.1848353745152618,-0.2228741359894236,0.20271654212958953,2.1949519738285512,2.137576901334171,Cell & neural biology,0.8059398518982887,0.9505531091190015
9,2018,24458,11707,12751,2110,estimated,0.04659181076458063,0.09180264941814743,-0.13334138209498833,0.2265250036241496,-0.12523203076901482,0.2206872266429169,2.3825239447751243,2.4961566714137207,Cell & neural biology,0.6117890126121461,0.8597150854953639
9,2019,23288,11380,11908,2141,estimated,-0.003860061774721868,0.0694207064703094,-0.1399246464565283,0.13220452290708457,-0.1327433986693484,0.12709472847716805,2.6143384840208457,2.6042664278581835,Cell & neural biology,0.9556573603836463,0.991948146221
9,2020,23847,11889,11958,2212,estimated,-0.05335918904767156,0.0922185077256623,-0.23410746418996967,0.12738908609462654,-0.23002929134111585,0.1334996885676831,2.8513963416721984,2.703236150886109,Cell & neural biology,0.5628476843422341,0.8597150854953639
10,2015,11891,5371,6520,2618,estimated,-0.023814445050875543,0.11609931695841466,-0.25136910628936826,0.2037402161876172,-0.26617252007417724,0.21303129568057105,1.7750919255934308,1.7333184764474443,Social behavior & violence,0.8374773402622651,0.9505531091190015
10,2016,12068,5167,6901,2789,estimated,-0.19269695898964972,0.0966675169620742,-0.38216529223531515,-0.0032286257439843036,-0.357022153769023,0.009268570992956677,2.068576404740105,1.706020873799652,Social behavior & violence,0.04621774235020598,0.2804842666179827
10,2017,13152,5442,7710,3004,estimated,-0.11304749458649888,0.09977976157799365,-0.30861582727936643,0.08252083810636868,-0.30636805290147323,0.09714204897186324,1.9186982495906166,1.7136052192812397,Social behavior & violence,0.25722677559511353,0.6634361074639235
10,2018,14067,5884,8183,3120,estimated,-0.046170977109109446,0.07509500448306647,-0.19335718589591971,0.10101523167770082,-0.19398425127854924,0.09024490513192338,1.9001587454486117,1.8144210857329899,Social behavior & violence,0.5386642200408717,0.8597150854953639
10,2019,15452,6163,9289,3389,estimated,-0.05868554032121276,0.07353109571814068,-0.2028064879287685,0.08543540728634297,-0.20843022284551246,0.08015782336904946,2.1225418599804575,2.0015638914094036,Social behavior & violence,0.4248095193235617,0.7740973463229346
10,2020,17033,7159,9874,3652,estimated,-0.07020145663318933,0.0969353012828725,-0.2601946471476194,0.11979173388124079,-0.27273829492199236,0.11062411059457196,2.1128054554534414,1.9695699264321906,Social behavior & violence,0.46893718691947806,0.8151302729594669
11,2015,19738,8353,11385,2413,estimated,-0.1173831400699833,0.12185982294016948,-0.3562283930327155,0.12146211289274889,-0.3551055991798695,0.12636183843547355,1.205632508458032,1.0721019839911907,Mental health & cognition,0.3354152209955359,0.7237907400429985
11,2016,18899,8098,10801,2537,estimated,-0.0853657617108935,0.09586110693149469,-0.2732535312966231,0.10252200787483609,-0.278179229099164,0.09117784524565546,1.322764317103268,1.2145309644528934,Mental health & cognition,0.3731893725347074,0.7313199946924638
11,2017,19334,7891,11443,2670,estimated,-0.142401973756769,0.09557121457866781,-0.3297215543309579,0.04491760681741991,-0.31366028607432783,0.052379281574418075,1.401901414938916,1.2158306368481104,Mental health & cognition,0.13622185880553478,0.43804676164917067
11,2018,19818,8184,11634,2786,estimated,-0.06966547850791738,0.07415498252135361,-0.21500924424977044,0.07567828723393569,-0.22112356757404047,0.06860037121825792,1.3946145094484916,1.3007650108405167,Mental health & cognition,0.34749573677586576,0.7238516610665888
11,2019,22893,8489,14404,2970,estimated,0.012464609397828452,0.07404534822095461,-0.1326642731152426,0.1575934919108995,-0.1283434640969367,0.16490077781539741,1.3701284995122391,1.38731349571897,Mental health & cognition,0.866317767761996,0.9537169056447415
11,2020,23136,9578,13558,3101,estimated,-0.10110797295353247,0.12037934306213624,-0.3370514853553195,0.13483553944825455,-0.3535585044140455,0.141164395450098,1.7721913486751626,1.6017693435579512,Mental health & cognition,0.4009581100510302,0.7558290810157351
12,2015,20995,10746,10249,3275,estimated,0.5519209695683492,0.48549089333402135,-0.39964118136633253,1.503483120503031,-0.39395219369438605,1.4768240338730951,1.706735085374142,2.963891818347502,Computing & networks,0.2556090517762435,0.6634361074639235
12,2016,22260,11186,11074,3423,estimated,-0.09699061404959763,0.22673216324263495,-0.5413856540051621,0.3474044259059669,-0.5665444746676853,0.3160904375916265,1.684007446292447,1.528345417162828,Computing & networks,0.6688140955560283,0.8787510726745839
12,2017,23884,12607,11277,3657,estimated,0.012709640815382284,0.17380455403908202,-0.32794728510121846,0.353366566731983,-0.30831134534253557,0.34562229343563433,1.5306006767196072,1.55017820972144,Computing & networks,0.9417058108427774,0.9836926941287611
12,2018,26953,14796,12157,3783,estimated,0.04624571182559323,0.12274002020950985,-0.19432472778504606,0.2868161514362325,-0.17242109620328905,0.3172652235672665,1.3322936011222155,1.3953533503175026,Computing & networks,0.7063387579379524,0.9024482194541044
12,2019,27268,14086,13182,4209,estimated,0.0702033866717271,0.1352701019445976,-0.19492601313968422,0.3353327864831384,-0.19046129029539852,0.3544646150383803,1.438868345091236,1.5435119696979531,Computing & networks,0.6037700012831617,0.8597150854953639
12,2020,29584,15957,13627,4675,estimated,0.03268623703944229,0.0983967513851851,-0.1601713956755205,0.22554386975440507,-0.13945693310003818,0.25859573440429084,1.7107683116889507,1.7676108132439112,Computing & networks,0.739747174015142,0.919079822261237
13,2015,7373,3118,4255,972,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2016,7533,3142,4391,978,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2017,7202,2967,4235,1061,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2018,8110,3808,4302,1081,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2019,6922,2605,4317,1145,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
13,2020,7980,3530,4450,1172,not_estimable,,,,,,,,,Marine ecology & paleoscience,,
14,2015,17474,4539,12935,1680,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2016,16641,4704,11937,1772,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2017,18066,4510,13556,1841,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2018,17284,4301,12983,1923,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2019,20913,4991,15922,1950,not_estimable,,,,,,,,,Immune & inflammatory disease,,
14,2020,18288,6069,12219,2065,estimated,-0.3205787942142573,0.09375500510016073,-0.5043386042105723,-0.13681898421794225,-0.5139419621848146,-0.14781808064784596,2.423541382412012,1.7588339435724005,Immune & inflammatory disease,0.0006277679295133624,0.05072801529636192
15,2015,21776,7950,13826,1959,estimated,0.014263587836169878,0.1272328497036375,-0.2351127975829596,0.26363997325529936,-0.26047349923375085,0.26830757759953366,1.0294285859393573,1.0442171492550387,Cardiovascular medicine,0.9107392230863589,0.9710238934747413
15,2016,21392,7934,13458,2012,estimated,0.06094874407998485,0.2628438433595024,-0.4542251889046398,0.5761226770646095,-0.4645097707426757,0.6102289024747776,0.8855004375494342,0.941149212878502,Cardiovascular medicine,0.8166297009282919,0.9505531091190015
15,2017,20960,7528,13432,2145,estimated,-0.40371382431113145,0.1595438338836059,-0.716419738722999,-0.09100790989926388,-0.690164954609512,-0.07606157449231496,1.574951778905571,1.0518082553547679,Cardiovascular medicine,0.011392419697884903,0.12455712203020827
15,2018,24458,7769,16689,2281,estimated,0.00828968709111011,0.2926642244056822,-0.5653321927440269,0.5819115669262471,-0.6148691488462457,0.6180686877250627,0.8431056970392319,0.8501238283187389,Cardiovascular medicine,0.9774030152378429,0.9952631405127114
15,2019,23846,7802,16044,2296,estimated,0.19190230133492558,0.209815743505654,-0.21933655593615625,0.6031411586060074,-0.21865011709451068,0.5742283504722193,0.8991765359705186,1.0893992601293159,Cardiovascular medicine,0.36038958859607795,0.7238516610665888
15,2020,24311,9681,14630,2513,estimated,-0.28440781474945276,0.10297792087893767,-0.48624453967217063,-0.08257108982673492,-0.5096294536042588,-0.10304239689975213,1.8135578694338055,1.3646292429282725,Cardiovascular medicine,0.005747787890348304,0.10473746822412464
16,2015,21165,8802,12363,2986,estimated,-0.27848498208299277,0.1060831417729548,-0.48640793995798415,-0.07056202420800137,-0.502992591832259,-0.08681798266893445,1.9785763655365465,1.4976430865235206,Public health & care delivery,0.008660883002674778,0.12455712203020827
