candidate,stage,covariate,mean_broad,mean_specialized,smd
primary_leaves_63,raw,lead_country=FJ,5.792110104759097e-05,4.6896914446002806e-05,-0.0015228428681299784
primary_leaves_63,raw,lead_country=FK,1.3015977763503588e-06,3.506311360448808e-06,0.0014219675373853633
primary_leaves_63,raw,lead_country=FM,0.0,8.76577840112202e-07,0.0013240684336555913
primary_leaves_63,raw,lead_country=FO,1.1063581098978051e-05,4.821178120617111e-06,-0.002215024181896629
primary_leaves_63,raw,lead_country=FR,0.012432211160810452,0.01828804347826087,0.04762945733541904
primary_leaves_63,raw,lead_country=GA,1.8873167757080204e-05,1.796984572230014e-05,-0.00021046701038535692
primary_leaves_63,raw,lead_country=GB,0.029766239547356358,0.039265427769985976,0.052053720607239375
primary_leaves_63,raw,lead_country=GD,5.531790549489025e-05,2.8927068723702665e-05,-0.004066363534709631
primary_leaves_63,raw,lead_country=GE,0.0002154144319859844,0.00016216690042075737,-0.0038757078702244914
primary_leaves_63,raw,lead_country=GF,5.857189993576615e-06,2.0599579242636746e-05,0.004053388504581474
primary_leaves_63,raw,lead_country=GH,0.0009332456056432073,0.0006342040673211781,-0.010686270490907692
primary_leaves_63,raw,lead_country=GI,8.460385546277333e-06,8.32748948106592e-06,-4.587024707596647e-05
primary_leaves_63,raw,lead_country=GL,5.206391105401435e-06,3.944600280504909e-06,-0.000589887647733936
primary_leaves_63,raw,lead_country=GM,1.6269972204379487e-05,1.8846423562412343e-05,0.0006148735497989412
primary_leaves_63,raw,lead_country=GN,1.6269972204379487e-05,8.76577840112202e-06,-0.002121005006093113
primary_leaves_63,raw,lead_country=GP,1.236517887532841e-05,1.5340112201963536e-05,0.0007993075567036367
primary_leaves_63,raw,lead_country=GQ,0.0,1.314866760168303e-06,0.0016216463788663504
primary_leaves_63,raw,lead_country=GR,0.0030568023777588177,0.0034870266479663393,0.007533705959955133
primary_leaves_63,raw,lead_country=GT,4.10003299550363e-05,5.084151472650772e-05,0.0014522860675802586
primary_leaves_63,raw,lead_country=GU,1.3015977763503589e-05,2.1037868162692847e-05,0.0019440728763510293
primary_leaves_63,raw,lead_country=GW,3.904793329051077e-06,3.0680224403927067e-06,-0.0004481446674677965
primary_leaves_63,raw,lead_country=GY,2.0174765533430562e-05,7.012622720897616e-06,-0.003569944756309578
primary_leaves_63,raw,lead_country=HK,0.0015580125382913797,0.0021822405329593266,0.014448592776728796
primary_leaves_63,raw,lead_country=HN,1.236517887532841e-05,1.6216690042075738e-05,0.0010188353551451475
primary_leaves_63,raw,lead_country=HR,0.0014766626772694821,0.0009992987377279103,-0.013575994908999583
primary_leaves_63,raw,lead_country=HT,1.3015977763503588e-06,4.821178120617111e-06,0.0020115581144335543
primary_leaves_63,raw,lead_country=HU,0.0023311616174434926,0.002079680925666199,-0.005360926549817691
primary_leaves_63,raw,lead_country=ID,0.008187700812131932,0.0038052244039270687,-0.056787539494164985
primary_leaves_63,raw,lead_country=IE,0.0021997002420321063,0.00328234572230014,0.02070852806042942
primary_leaves_63,raw,lead_country=IL,0.003369185844082904,0.00449640603085554,0.01801073101080199
primary_leaves_63,raw,lead_country=IM,7.809586658102154e-06,7.450911640953717e-06,-0.00012984745023635354
primary_leaves_63,raw,lead_country=IN,0.056631217651227764,0.041946441093969146,-0.06787639354414994
primary_leaves_63,raw,lead_country=IQ,0.0019172535245640786,0.0006740883590462834,-0.03456430692955144
primary_leaves_63,raw,lead_country=IR,0.017745984082760794,0.0159015603085554,-0.014341497539251367
primary_leaves_63,raw,lead_country=IS,0.0001620489231556197,0.00019942145862552596,0.00278016691632427
primary_leaves_63,raw,lead_country=IT,0.016368893635382114,0.021378856942496492,0.036822661878257196
primary_leaves_63,raw,lead_country=JE,0.0,3.944600280504909e-06,0.002808777613282212
primary_leaves_63,raw,lead_country=JM,9.957222989080245e-05,6.793478260869565e-05,-0.0034571543701310417
primary_leaves_63,raw,lead_country=JO,0.0011454060431883158,0.000798562412342216,-0.01113068793755955
primary_leaves_63,raw,lead_country=JP,0.04347466732787834,0.039601595371669004,-0.019411769394277675
primary_leaves_63,raw,lead_country=KE,0.0014467259284134239,0.0006403401122019635,-0.024977580462751395
primary_leaves_63,raw,lead_country=KG,0.00011323900654248123,5.829242636746143e-05,-0.005933409782770478
primary_leaves_63,raw,lead_country=KH,0.0001171437998715323,9.423211781206172e-05,-0.0022287812194898703
primary_leaves_63,raw,lead_country=KI,0.0,8.76577840112202e-07,0.0013240684336555913
primary_leaves_63,raw,lead_country=KN,1.7571569980729845e-05,1.8846423562412343e-05,0.00029875917940481235
primary_leaves_63,raw,lead_country=KP,1.3666776651678768e-05,1.314866760168303e-05,-0.00014149679097405005
primary_leaves_63,raw,lead_country=KR,0.02490151785824689,0.023268320476858347,-0.010652860117078231
