journal_id,journal_name,qwen_macro,treatment,n,scope_score,reach,umap_x,umap_y
https://openalex.org/S180907581,Physics Today,18,0,1597,0.8463094380070356,4.263977729180499,-3.2669475,10.802349
https://openalex.org/S2898407351,Materials Today Proceedings,20,0,1597,0.8380712636179268,1.1835987016615477,12.871965,18.652128
https://openalex.org/S86852077,The Science of The Total Environment,26,0,1532,0.8467654824984362,1.2890746417733057,11.829015,11.032712
https://openalex.org/S2485537415,IEEE Access,12,0,1396,0.8243265533806465,0.9086113593524263,3.9202733,17.090338
https://openalex.org/S11296630,The Journal of the Acoustical Society of America,28,0,1387,0.8400462779909043,1.3626510188314573,3.8104026,11.059478
https://openalex.org/S64187185,Nature Communications,9,0,1375,0.8238955919900864,2.1357247034613933,14.821547,2.9644969
https://openalex.org/S92766711,Frontiers in Psychiatry,11,0,1375,0.8470196916505885,2.0447914820736424,2.8704996,5.0923433
https://openalex.org/S169054600,Journal of the Neurological Sciences,6,0,1373,0.8479413447367635,1.5593096306262975,9.768157,-0.5641616
https://openalex.org/S77494981,PEDIATRICS,16,0,1359,0.8480009483423555,1.4394764413036163,4.4432445,7.9057517
https://openalex.org/S26125866,Journal of Materials Science,21,0,662,0.84334921917216,1.5924508715691899,15.735048,20.1165
https://openalex.org/S113993733,Biotechnology Letters,4,0,579,0.8424670161772636,1.2036312998015104,17.964722,5.628893
