omitted_source_macro,metric,broad,specialized,contrast_specialized_minus_broad,direction_concordant
9,audience_participation,0.7152717917753342,0.6802719653866938,-0.03499982638864041,True
9,semantic_span,0.12555861401568164,0.11621297513484016,-0.009345638880841473,True
10,directed_modularity,0.4835692850507093,0.5123656310109624,0.028796345960253156,True
10,audience_participation,0.7157550187629393,0.6814157422112824,-0.034339276551656917,True
10,semantic_span,0.12516423640999239,0.11591306683695277,-0.00925116957303962,True
11,directed_modularity,0.48114966869363024,0.5096951892411931,0.02854552054756282,True
11,audience_participation,0.7173659235269034,0.6832460209812572,-0.03411990254564623,True
11,semantic_span,0.12547032366875677,0.116098634288816,-0.009371689379940762,True
12,directed_modularity,0.48082023980743427,0.5119532493291168,0.03113300952168252,True
12,audience_participation,0.7178574407546315,0.680879294918534,-0.03697814583609749,True
12,semantic_span,0.12498768784456542,0.11520258510232126,-0.009785102742244159,True
13,directed_modularity,0.4813171782138631,0.5103515602512975,0.02903438203743436,True
13,audience_participation,0.717968185897143,0.6835178664650216,-0.0344503194321214,True
13,semantic_span,0.12579047746733693,0.11656856480830488,-0.00922191265903205,True
14,directed_modularity,0.4832230250556656,0.5115945689100388,0.028371543854373238,True
14,audience_participation,0.7155890222929839,0.6816351464156363,-0.03395387587734766,True
14,semantic_span,0.12551254136090498,0.11637335289734849,-0.009139188463556491,True
15,directed_modularity,0.47927307114144563,0.5072892607460429,0.02801618960459723,True
15,audience_participation,0.7193763333663759,0.6859090820952916,-0.0334672512710843,True
15,semantic_span,0.1259586921743743,0.11661606681570233,-0.009342625358671974,True
16,directed_modularity,0.48327341808915814,0.5121825867976009,0.028909168708442734,True
16,audience_participation,0.7154496798881773,0.6808071092847248,-0.03464257060345255,True
16,semantic_span,0.1251064062526751,0.1157577790922161,-0.009348627160459005,True
17,directed_modularity,0.48206492246335453,0.5094571013911522,0.02739217892779766,True
17,audience_participation,0.7161783684834693,0.683428397649722,-0.03274997083374731,True
17,semantic_span,0.12577580538527883,0.1166551752748328,-0.009120630110446032,True
18,directed_modularity,0.49892738273064036,0.5299190451012896,0.030991662370649264,True
18,audience_participation,0.706883612882185,0.6721103675900321,-0.03477324529215298,True
18,semantic_span,0.12070721052048855,0.11132807146875945,-0.009379139051729102,True
19,directed_modularity,0.47916425756655917,0.5083221287606513,0.029157871194092133,True
19,audience_participation,0.7205403415819216,0.6858885360424118,-0.03465180553950975,True
19,semantic_span,0.1261614541890703,0.11675058737659744,-0.009410866812472857,True
20,directed_modularity,0.4795191446786772,0.506754344302581,0.02723519962390386,True
20,audience_participation,0.718953383918225,0.6870141331786126,-0.03193925073961246,True
20,semantic_span,0.12607171903198558,0.11724566148358857,-0.008826057548397007,True
21,directed_modularity,0.48075723791490965,0.50888418140222,0.028126943487310374,True
21,audience_participation,0.7181808054967763,0.6848715962763905,-0.03330920922038583,True
21,semantic_span,0.12602518060294138,0.11706629670174533,-0.00895888390119605,True
22,directed_modularity,0.47753380331451645,0.5060766567715368,0.028542853457020345,True
22,audience_participation,0.7216964622029337,0.6880050586771189,-0.03369140352581479,True
22,semantic_span,0.12617416546101842,0.11686571165261257,-0.00930845380840585,True
23,directed_modularity,0.4804003827627902,0.5092307971505227,0.028830414387732484,True
23,audience_participation,0.7182362929304165,0.684318829954323,-0.03391746297609344,True
23,semantic_span,0.12582131852256623,0.11661889070599797,-0.009202427816568257,True
24,directed_modularity,0.4811385935095215,0.508594538786731,0.027455945277209515,True
24,audience_participation,0.7172499026954906,0.6845424017956302,-0.03270750089986041,True
24,semantic_span,0.12566892030365726,0.11650019931704236,-0.009168720986614892,True
25,directed_modularity,0.4813791218924637,0.5086357913086849,0.02725666941622118,True
25,audience_participation,0.7170406903504938,0.6845722987766727,-0.03246839157382109,True
25,semantic_span,0.12570311872807982,0.11660318275950754,-0.009099935968572281,True
26,directed_modularity,0.4780001447721604,0.5068224719273848,0.028822327155224425,True
26,audience_participation,0.7209661534391612,0.6868147832834848,-0.034151370155676375,True
26,semantic_span,0.12602550478960575,0.11676555274345565,-0.0092599520461501,True
27,directed_modularity,0.4770100652816247,0.507198650082413,0.030188584800788343,True
27,audience_participation,0.7220356410175774,0.6865616609971896,-0.03547398002038782,True
